,PseudoTime1,PseudoTime2
E1859_461,,0.57644
E167_106,0.13158,
E869_403,,0.50376
E638_257,,0.3208
E1388_754,,0.9436100000000001
E960_628,,0.78571
E243_554,,0.69298
E1723_495,0.61905,
E1617_392,0.48996999999999996,
E1358_703,,0.8797
E1379_48,,0.0589
E1868_252,,0.31454
E1983_485,,0.60652
E378_46,,0.056389999999999996
E1857_135,,0.16792
E357_753,0.9423600000000001,
E1392_353,,0.4411
E1689_45,,0.055139999999999995
E174_501,,0.62657
E111_689,,0.86216
E1908_88,,0.10902
E229_489,,0.61153
E1572_116,,0.14411
E1243_609,,0.7619
E278_205,,0.25564000000000003
E1165_601,0.75188,
E1790_625,0.78195,
E1216_396,,0.49499
E1089_658,0.82331,
E793_780,,0.97619
E118_555,,0.69424
E164_623,,0.77945
E858_660,,0.82581
E861_146,,0.1817
E195_94,,0.11654
E979_719,,0.89975
E381_593,,0.74185
E824_507,0.6340899999999999,
E1234_348,0.43483999999999995,
E573_250,,0.31203000000000003
E948_114,0.1416,
E832_383,,0.4787
E1158_698,,0.8734299999999999
E685_717,,0.8972399999999999
E526_792,,0.9912299999999999
E1731_241,,0.30075
E303_99,,0.12280999999999999
E1703_659,,0.8245600000000001
E873_400,,0.5
E1996_469,,0.5864699999999999
E1157_271,0.33835,
E1646_211,,0.26316
E499_212,,0.26441
E1775_736,0.92105,
E1423_728,,0.9110299999999999
E461_467,,0.58396
E618_532,0.6654100000000001,
E1283_365,,0.45614
E1777_94,,0.11654
E1904_493,,0.61654
E1533_677,,0.8471200000000001
E27_330,,0.41228000000000004
E700_220,,0.27444
E1858_367,,0.45865
E1403_2,,0.00125
E1480_100,,0.12405999999999999
E1220_327,,0.40852
E558_795,,0.9949899999999999
E241_391,0.48872,
E249_570,,0.71303
E1985_304,,0.3797
E1341_553,,0.6917300000000001
E1385_272,,0.3396
E1734_94,,0.11654
E202_443,,0.55388
E1826_562,,0.70301
E1093_131,,0.16291
E187_18,,0.0213
E39_281,0.35088,
E1892_756,,0.9461200000000001
E580_629,0.78697,
E1766_449,,0.5614
E106_126,,0.15664
E786_35,,0.04261
E38_383,,0.4787
E878_395,,0.49373
E1268_515,0.6441100000000001,
E1364_233,,0.29073000000000004
E348_127,,0.15789
E1547_693,,0.8671700000000001
E1604_170,,0.21178000000000002
E1079_389,,0.48622
E1270_706,,0.88346
E691_70,0.08647,
E255_410,,0.51253
E1546_778,,0.9736799999999999
E42_401,0.50125,
E929_156,,0.19424
E1799_59,0.07268,
E1632_649,,0.81203
E1048_166,,0.20676999999999998
E1308_414,,0.51754
E874_3,,0.00251
E1149_350,,0.43733999999999995
E1045_319,,0.3985
E316_7,,0.007520000000000001
E219_740,,0.9260700000000001
E1806_467,,0.58396
E1412_399,,0.49875
E454_162,,0.20175
E1080_588,,0.73559
E1907_388,,0.48496000000000006
E237_606,,0.75815
E1749_163,,0.20301
E71_273,,0.34085
E1726_180,,0.22430999999999998
E631_40,,0.04887
E1550_379,,0.47368000000000005
E254_598,0.74812,
E563_580,0.72556,
E1610_402,,0.50251
E47_665,,0.8320799999999999
E1990_308,,0.38471
E275_734,,0.91855
E266_212,,0.26441
E121_92,,0.11404
E153_242,,0.30201
E391_446,0.5576399999999999,
E935_585,0.73183,
E385_261,,0.32581
E584_142,,0.17669
E1409_416,0.52005,
E46_107,0.13283,
E88_729,,0.91228
E373_636,,0.79574
E1640_671,,0.8396
E870_668,,0.8358399999999999
E1457_603,,0.75439
E1058_645,,0.80702
E744_101,,0.12531
E383_676,,0.8458600000000001
E1232_95,0.11779,
E424_386,,0.48246000000000006
E842_790,0.98872,
E1442_595,,0.74436
E1755_632,,0.79073
E1684_192,,0.23935
E26_550,,0.68797
E274_585,0.73183,
E1519_338,,0.42231
E852_32,,0.03885
E1905_8,,0.00877
E1115_250,,0.31203000000000003
E1616_361,,0.45113000000000003
E640_169,0.21053000000000002,
E1124_300,,0.37469
E1147_503,,0.62907
E190_662,,0.8283200000000001
E1122_552,,0.69048
E753_613,,0.7669199999999999
E782_461,,0.57644
E1280_557,,0.6967399999999999
E1086_439,0.54887,
E602_340,,0.42481
E1877_197,,0.24561
E652_716,,0.89599
E1952_622,,0.7782
E1402_335,,0.41855
E133_651,,0.8145399999999999
E1869_412,,0.5150399999999999
E1261_100,,0.12405999999999999
E207_139,,0.17293
E21_638,,0.79825
E717_240,,0.2995
E183_628,,0.78571
E127_331,,0.41353
E1327_206,,0.25689
E453_153,,0.19047999999999998
E97_706,,0.88346
E1525_761,,0.9523799999999999
E941_18,,0.0213
E322_120,,0.14912
E1576_530,,0.66291
E1677_94,,0.11654
E1007_92,,0.11404
E524_139,,0.17293
E950_352,,0.43985
E806_698,,0.8734299999999999
E1736_718,0.8985,
E221_445,,0.5563899999999999
E598_765,0.95739,
E284_752,0.9411,
E569_439,,0.54887
E1202_729,,0.91228
E689_419,,0.52381
E1418_784,0.9812,
E791_482,,0.6027600000000001
E1621_643,,0.8045100000000001
E583_470,,0.58772
E379_21,,0.02506
E101_668,0.8358399999999999,
E1876_187,,0.23308
E1125_283,,0.35338
E830_319,,0.3985
E1693_490,,0.61278
E998_476,,0.59524
E971_454,,0.56767
E75_358,,0.44737
E1201_279,,0.34836999999999996
E889_538,,0.67293
E1178_547,,0.68421
E1863_214,,0.26692
E1962_727,,0.9097700000000001
E1717_554,0.69298,
E586_470,,0.58772
E1160_399,,0.49875
E1219_460,,0.57519
E1377_307,,0.38345999999999997
E135_494,,0.61779
E150_306,,0.38221
E384_330,0.41228000000000004,
E1895_228,,0.28446
E22_167,,0.20801999999999998
E295_320,,0.39975
E1699_365,,0.45614
E1199_692,,0.8659100000000001
E1903_283,,0.35338
E1568_381,,0.47618999999999995
E1404_49,,0.06015
E736_715,0.89474,
E1924_576,,0.72055
E1065_79,0.09774,
E420_322,,0.40226
E588_627,,0.78446
E1600_487,,0.60902
E299_179,,0.22305999999999998
E413_452,0.56516,
E11_600,,0.75063
E659_38,0.04637,
E1636_287,0.3584,
E654_509,,0.63659
E1260_48,0.0589,
E480_668,,0.8358399999999999
E1068_685,,0.85714
E553_528,,0.6604
E1800_142,,0.17669
E1215_363,,0.45363000000000003
E644_210,,0.2619
E248_473,0.59148,
E1527_191,,0.2381
E1556_231,0.28822,
E1973_95,0.11779,
E296_171,,0.21303000000000002
E260_274,,0.34210999999999997
E780_162,,0.20175
E286_548,,0.6854600000000001
E1405_39,,0.047619999999999996
E1853_513,0.6416,
E722_305,,0.38095
E417_738,,0.92356
E277_486,,0.60777
E1554_22,0.02632,
E145_241,,0.30075
E1191_255,0.3183,
E1725_170,,0.21178000000000002
E633_773,0.9674200000000001,
E531_286,,0.35714
E1881_425,,0.53133
E1439_159,,0.19799
E354_294,,0.36717
E471_599,,0.74937
E1309_400,,0.5
E142_192,,0.23935
E1649_148,,0.18420999999999998
E865_690,,0.86341
E390_700,0.8759399999999999,
E1073_157,,0.19549
E506_466,,0.5827100000000001
E443_308,0.38471,
E1181_56,,0.06892000000000001
E1720_754,,0.9436100000000001
E996_478,,0.5977399999999999
E1920_409,,0.5112800000000001
E1376_216,,0.26942
E1713_678,,0.8483700000000001
E933_690,,0.86341
E1422_716,,0.89599
E1592_118,,0.14662
E1763_703,,0.8797
E1926_396,,0.49499
E1155_243,,0.30326
E268_552,,0.69048
E1208_342,,0.42732
E177_626,,0.7832100000000001
E1277_627,0.78446,
E1789_591,,0.73935
E1130_569,,0.71178
E1979_397,,0.49623999999999996
E1939_107,,0.13283
E264_782,,0.9787
E44_616,0.77068,
E1152_66,,0.08145
E675_85,,0.10525999999999999
E785_105,,0.13033
E1860_784,,0.9812
E1716_717,0.8972399999999999,
E634_315,,0.39348
E1528_8,,0.00877
E483_79,,0.09774
E704_134,,0.16667
E223_244,,0.30451
E1118_719,,0.89975
E292_142,,0.17669
E1321_161,,0.2005
E234_129,,0.1604
E828_280,,0.34962
E1484_99,,0.12280999999999999
E418_23,0.027569999999999997,
E235_203,,0.25313
E1791_679,,0.84962
E1966_754,,0.9436100000000001
E692_266,,0.33208000000000004
E29_747,,0.93484
E1464_347,,0.43358
E1580_173,,0.21554
E747_376,0.46992,
E1052_80,,0.099
E904_750,,0.9386
E636_680,0.85088,
E961_649,,0.81203
E1796_135,,0.16792
E1665_124,0.15414,
E969_379,,0.47368000000000005
E1925_112,0.1391,
E56_480,,0.60025
E1047_183,,0.22807
E945_713,0.89223,
E1414_39,0.047619999999999996,
E879_39,0.047619999999999996,
E1445_136,0.16917000000000001,
E1935_271,,0.33835
E684_231,,0.28822
E535_352,,0.43985
E72_207,,0.25815
E725_473,,0.59148
E768_35,0.04261,
E1101_163,,0.20301
E439_498,,0.6228100000000001
E1342_404,,0.5050100000000001
E769_13,0.015040000000000001,
E1984_190,0.23684000000000002,
E1781_166,,0.20676999999999998
E610_263,0.32832,
E1847_335,,0.41855
E1986_707,,0.88471
E1106_134,,0.16667
E238_70,,0.08647
E1598_348,,0.43483999999999995
E1648_562,,0.70301
E905_610,,0.7631600000000001
E497_504,0.6303300000000001,
E91_585,0.73183,
E1878_90,,0.11152999999999999
E1821_5,,0.0050100000000000006
E1771_51,,0.06266000000000001
E1512_155,,0.19297999999999998
E1638_123,0.15288,
E623_75,,0.09272999999999999
E984_89,,0.11027999999999999
E1673_781,,0.97744
E985_780,,0.97619
E20_630,,0.78822
E1352_203,,0.25313
E614_652,0.81579,
E1861_707,,0.88471
E626_377,,0.47118000000000004
E986_118,,0.14662
E1459_651,,0.8145399999999999
E1176_735,0.9198,
E600_39,,0.047619999999999996
E1704_372,0.46491000000000005,
E1761_489,0.61153,
E1624_660,,0.82581
E1531_22,,0.02632
E1948_188,0.23434000000000002,
E1994_340,,0.42481
E1096_647,0.80952,
E688_59,,0.07268
E86_675,,0.8446100000000001
E668_328,,0.40976999999999997
E1304_725,,0.90727
E1719_566,0.70802,
E1844_776,,0.9711799999999999
E632_522,,0.65288
E694_236,,0.29449000000000003
E1076_557,,0.6967399999999999
E1148_495,,0.61905
E1606_781,,0.97744
E228_206,,0.25689
E1485_27,,0.03258
E735_654,,0.8183
E289_393,0.49123,
E1083_632,,0.79073
E1317_608,,0.76065
E1714_6,,0.00627
E1036_544,,0.68045
E1555_457,0.57143,
E125_222,,0.27694
E1537_610,0.7631600000000001,
E667_747,,0.93484
E1410_423,,0.52882
E1823_619,0.77444,
E1708_19,,0.02256
E462_103,,0.12782000000000002
E77_422,0.52757,
E1365_29,,0.035089999999999996
E464_385,,0.4812
E980_189,,0.23559000000000002
E621_612,,0.76566
E1558_757,0.94737,
E1034_18,,0.0213
E938_268,,0.33459
E136_72,,0.08897000000000001
E566_262,,0.32706999999999997
E838_200,,0.24936999999999998
E837_1,,0.0
E104_545,,0.6817
E1733_15,,0.01754
E1981_114,,0.1416
E625_6,,0.00627
E639_183,,0.22807
E1310_354,,0.44236000000000003
E196_398,,0.49749
E486_281,,0.35088
E805_421,,0.52632
E1478_411,,0.51378
E116_759,0.9498700000000001,
E344_635,0.7944899999999999,
E918_256,,0.31955
E1347_226,0.28195,
E1396_94,,0.11654
E1113_569,,0.71178
E548_216,,0.26942
E792_164,,0.20426
E1205_373,,0.46617
E956_585,,0.73183
E732_308,,0.38471
E1679_189,,0.23559000000000002
E1696_138,,0.17168
E307_71,,0.08772
E1828_312,,0.38971999999999996
E920_63,,0.07769
E1144_596,,0.74561
E827_293,,0.36591
E498_273,,0.34085
E1820_75,,0.09272999999999999
E866_790,,0.98872
E160_766,,0.95865
E427_328,,0.40976999999999997
E798_231,,0.28822
E1619_625,,0.78195
E408_5,,0.0050100000000000006
E1012_329,,0.41103
E396_328,,0.40976999999999997
E87_126,,0.15664
E214_71,,0.08772
E329_603,,0.75439
E1867_295,0.36841999999999997,
E765_1,0.0,
E1836_340,,0.42481
E476_3,,0.00251
E1874_664,0.83083,
E1084_750,,0.9386
E803_775,,0.9699200000000001
E968_205,0.25564000000000003,
E1035_306,,0.38221
E1085_311,,0.38847
E1177_173,,0.21554
E1272_569,0.71178,
E173_298,0.37218,
E1787_137,,0.17043
E1371_265,,0.33083
E1764_143,,0.17794000000000001
E1000_554,,0.69298
E1344_636,,0.79574
E896_155,,0.19297999999999998
E1744_439,,0.54887
E1945_197,,0.24561
E200_235,,0.29323
E1114_249,,0.31078
E310_600,0.75063,
E1570_278,,0.34712
E1544_669,,0.83709
E1060_612,0.76566,
E664_214,,0.26692
E416_728,,0.9110299999999999
E1692_46,,0.056389999999999996
E1977_556,0.6954899999999999,
E206_737,,0.9223100000000001
E1482_415,0.5188,
E134_325,,0.40602
E776_523,0.6541399999999999,
E578_597,,0.74687
E1780_55,0.06767000000000001,
E1711_557,,0.6967399999999999
E1940_716,,0.89599
E1033_459,,0.57393
E1156_410,,0.51253
E30_70,,0.08647
E1976_290,0.36216,
E855_406,,0.50752
E492_458,0.57268,
E1541_322,0.40226,
E1972_413,,0.5162899999999999
E1685_37,,0.045110000000000004
E1982_118,0.14662,
E353_87,,0.10777
E1794_184,,0.22931999999999997
E708_402,,0.50251
E912_787,0.9849600000000001,
E1389_549,0.68672,
E687_581,,0.72682
E536_530,,0.66291
E1154_240,,0.2995
E1213_628,,0.78571
E1435_512,,0.64035
E1582_402,,0.50251
E1467_683,,0.85464
E1707_552,,0.69048
E1963_256,,0.31955
E1571_280,0.34962,
E571_473,,0.59148
E831_152,,0.18922
E1753_168,,0.20926999999999998
E403_336,,0.4198
E1337_8,0.00877,
E321_330,,0.41228000000000004
E1818_275,,0.34336
E1024_156,,0.19424
E562_763,,0.95489
E1508_577,,0.7218
E1581_518,,0.64787
E1120_466,0.5827100000000001,
E1933_100,,0.12405999999999999
E157_267,,0.33333
E1138_101,0.12531,
E363_61,,0.07518999999999999
E6_520,0.6503800000000001,
E31_118,,0.14662
E1014_11,0.01253,
E1811_308,,0.38471
E1919_260,,0.32456
E523_373,,0.46617
E456_321,,0.401
E1918_177,,0.22055
E1297_686,,0.8584
E1038_527,,0.65915
E217_23,,0.027569999999999997
E394_648,,0.8107800000000001
E8_466,,0.5827100000000001
E868_710,0.8884700000000001,
E218_498,,0.6228100000000001
E1829_650,,0.81328
E1612_244,,0.30451
E957_725,,0.90727
E1701_316,,0.39474000000000004
E1029_116,,0.14411
E750_319,,0.3985
E3_454,,0.56767
E1788_369,,0.46115
E1688_539,0.67419,
E983_25,,0.030080000000000003
E1553_381,,0.47618999999999995
E925_319,0.3985,
E835_454,,0.56767
E426_242,,0.30201
E1188_295,,0.36841999999999997
E1510_378,,0.47243
E565_640,,0.80075
E671_657,0.82206,
E761_606,,0.75815
E1523_36,,0.04386
E1842_644,,0.80576
E615_416,,0.52005
E139_284,,0.35464
E262_526,,0.65789
E1579_15,,0.01754
E1729_29,,0.035089999999999996
E1852_622,,0.7782
E1221_321,,0.401
E641_514,,0.64286
E650_715,,0.89474
E1988_252,,0.31454
E1374_762,,0.95363
E1575_535,,0.6691699999999999
E496_462,,0.5776899999999999
E224_444,0.55514,
E1399_159,0.19799,
E1167_587,,0.73434
E1917_629,,0.78697
E1795_36,,0.04386
E468_432,,0.5401
E1145_313,0.39098,
E0_554,,0.69298
E622_597,,0.74687
E442_268,,0.33459
E1873_42,,0.051379999999999995
E695_668,,0.8358399999999999
E1856_544,,0.68045
E66_702,,0.87845
E1362_221,0.27569,
E1004_46,,0.056389999999999996
E1831_111,,0.13784000000000002
E1956_187,,0.23308
E493_381,,0.47618999999999995
E1131_642,,0.8032600000000001
E1011_334,0.41728999999999994,
E949_114,0.1416,
E1454_726,,0.9085200000000001
E377_762,,0.95363
E301_686,,0.8584
E470_138,,0.17168
E431_584,,0.73058
E943_499,,0.6240600000000001
E609_42,,0.051379999999999995
E108_499,,0.6240600000000001
E1265_407,0.50877,
E552_134,,0.16667
E970_629,,0.78697
E1738_559,,0.69925
E940_125,,0.15539
E59_252,0.31454,
E271_351,,0.4386
E451_577,,0.7218
E804_402,0.50251,
E875_684,,0.8558899999999999
E1964_614,,0.76817
E814_223,,0.2782
E585_450,,0.56266
E716_96,,0.11905
E1958_712,,0.8909799999999999
E751_758,0.94862,
E807_318,,0.39724
E358_199,,0.24811999999999998
E1255_366,0.45738999999999996,
E1021_236,,0.29449000000000003
E899_211,,0.26316
E903_198,,0.24686999999999998
E1197_248,,0.30951999999999996
E756_561,,0.70175
E713_320,,0.39975
E34_84,,0.10400999999999999
E282_599,0.74937,
E484_604,,0.75564
E1054_3,,0.00251
E1462_36,,0.04386
E954_704,,0.88095
E811_126,,0.15664
E1438_537,,0.67168
E1075_24,,0.02882
E1133_789,,0.9874700000000001
E1588_237,,0.29574
E1349_429,,0.5363399999999999
E754_593,0.74185,
E1631_602,,0.75313
E1804_61,,0.07518999999999999
E325_728,,0.9110299999999999
E1987_200,0.24936999999999998,
E939_409,0.5112800000000001,
E1915_721,,0.9022600000000001
E733_528,,0.6604
E1059_439,,0.54887
E1254_306,,0.38221
E1428_324,,0.40476
E1264_619,,0.77444
E779_166,,0.20676999999999998
E1468_392,0.48996999999999996,
E152_250,,0.31203000000000003
E1620_720,0.9009999999999999,
E1663_333,,0.41603999999999997
E203_764,0.95614,
E95_24,0.02882,
E269_294,,0.36717
E1505_409,0.5112800000000001,
E825_794,,0.9937299999999999
E1757_722,0.90351,
E317_489,,0.61153
E175_164,,0.20426
E1750_776,,0.9711799999999999
E1006_724,,0.90602
E797_464,,0.5802
E1027_19,,0.02256
E893_649,,0.81203
E123_640,,0.80075
E144_299,,0.37343000000000004
E1773_11,,0.01253
E888_765,,0.95739
E1759_151,,0.18797
E1633_478,,0.5977399999999999
E1020_739,0.92481,
E1290_722,0.90351,
E82_674,,0.84336
E1217_712,,0.8909799999999999
E1870_358,,0.44737
E737_322,,0.40226
E397_701,,0.8771899999999999
E587_478,,0.5977399999999999
E1172_451,,0.56391
E658_642,,0.8032600000000001
E1659_621,,0.77694
E1680_782,,0.9787
E1366_7,,0.007520000000000001
E1656_386,,0.48246000000000006
E1003_652,0.81579,
E542_442,,0.5526300000000001
E283_529,,0.66165
E1562_147,,0.18295999999999998
E1936_419,,0.52381
E1394_673,,0.84211
E326_313,,0.39098
E581_225,,0.2807
E345_486,0.60777,
E604_454,,0.56767
E205_532,,0.6654100000000001
E1999_621,,0.77694
E1100_48,,0.0589
E1748_444,,0.55514
E942_581,,0.72682
E645_738,,0.92356
E1740_732,,0.91604
E1577_470,,0.58772
E570_638,,0.79825
E1343_501,0.62657,
E541_616,,0.77068
E239_451,,0.56391
E1540_215,,0.26816999999999996
E1398_585,0.73183,
E982_88,,0.10902
E450_708,,0.8859600000000001
E240_341,0.42607,
E448_50,0.0614,
E159_136,,0.16917000000000001
E1536_411,,0.51378
E1098_389,,0.48622
E1306_148,0.18420999999999998,
E752_721,,0.9022600000000001
E510_768,,0.96115
E603_694,,0.8684200000000001
E1502_226,,0.28195
E966_90,,0.11152999999999999
E319_224,0.27945,
E141_739,,0.92481
E1798_758,,0.94862
E1670_80,,0.099
E1078_275,,0.34336
E1835_280,,0.34962
E759_286,0.35714,
E347_533,,0.66667
E772_714,,0.8934799999999999
E428_63,,0.07769
E1129_254,,0.31704
E356_226,0.28195,
E775_94,,0.11654
E1465_425,,0.53133
E627_644,,0.80576
E246_694,,0.8684200000000001
E352_738,,0.92356
E1192_177,,0.22055
E1023_796,,0.99624
E146_318,0.39724,
E1741_260,,0.32456
E1655_232,,0.28947
E1123_236,,0.29449000000000003
E1896_619,0.77444,
E331_229,,0.28570999999999996
E421_738,,0.92356
E1224_713,,0.89223
E974_72,,0.08897000000000001
E52_539,,0.67419
E702_253,0.31579,
E771_491,,0.6140399999999999
E816_376,,0.46992
E400_649,,0.81203
E4_799,,1.0
E422_286,0.35714,
E1998_440,,0.55013
E701_758,,0.94862
E778_744,,0.9310799999999999
E1906_593,,0.74185
E1667_698,,0.8734299999999999
E1200_58,,0.07143
E1434_159,0.19799,
E78_159,,0.19799
E320_534,,0.66792
E1407_279,,0.34836999999999996
E465_710,,0.8884700000000001
E1668_678,,0.8483700000000001
E1278_129,,0.1604
E1477_555,,0.69424
E1897_17,,0.02005
E130_290,0.36216,
E1559_672,,0.84085
E836_269,,0.33584
E1320_127,0.15789,
E437_477,,0.59649
E1146_658,,0.82331
E1567_775,,0.9699200000000001
E1042_346,,0.43233
E1257_519,,0.64912
E624_306,0.38221,
E1686_36,,0.04386
E1373_166,0.20676999999999998,
E1944_219,,0.27318000000000003
E1810_297,,0.37093000000000004
E112_700,,0.8759399999999999
E812_126,0.15664,
E1285_510,,0.63784
E369_196,,0.24436
E745_232,,0.28947
E1721_305,,0.38095
E473_341,,0.42607
E1492_669,0.83709,
E514_200,0.24936999999999998,
E1105_788,,0.9862200000000001
E1229_633,0.79198,
E575_645,,0.80702
E504_176,,0.2193
E990_263,,0.32832
E181_185,,0.23058
E236_361,,0.45113000000000003
E1712_242,,0.30201
E660_642,,0.8032600000000001
E662_532,,0.6654100000000001
E517_383,,0.4787
E359_744,,0.9310799999999999
E936_663,,0.82957
E663_84,0.10400999999999999,
E1142_556,0.6954899999999999,
E1395_436,0.54511,
E826_16,,0.0188
E512_737,,0.9223100000000001
E1406_664,,0.83083
E1116_447,,0.5589
E590_615,,0.76942
E994_614,,0.76817
E953_787,,0.9849600000000001
E24_579,,0.72431
E608_603,0.75439,
E551_704,,0.88095
E784_702,,0.87845
E1682_246,,0.30701999999999996
E892_386,,0.48246000000000006
E567_417,,0.5213
E360_704,,0.88095
E1618_614,,0.76817
E501_99,0.12280999999999999,
E1170_251,,0.31328
E1346_33,,0.0401
E1587_282,,0.35213
E1520_330,0.41228000000000004,
E1302_602,,0.75313
E318_606,0.75815,
E1288_757,,0.94737
E1230_645,,0.80702
E1013_564,,0.7055100000000001
E227_430,0.53759,
E657_398,,0.49749
E1458_383,0.4787,
E839_379,,0.47368000000000005
E308_389,0.48622,
E946_662,,0.8283200000000001
E1153_317,,0.39599
E546_714,,0.8934799999999999
E309_152,0.18922,
E94_253,,0.31579
E616_492,0.61529,
E1111_169,,0.21053000000000002
E867_311,0.38847,
E1932_118,0.14662,
E409_20,,0.023809999999999998
E302_267,,0.33333
E76_376,,0.46992
E1242_334,,0.41728999999999994
E1472_32,,0.03885
E12_48,,0.0589
E1548_79,,0.09774
E922_47,,0.05764
E1161_405,,0.50627
E1246_416,,0.52005
E198_142,0.17669,
E1901_293,,0.36591
E55_434,,0.54261
E1128_307,0.38345999999999997,
E1644_696,,0.87093
E401_622,,0.7782
E306_703,,0.8797
E28_471,,0.58897
E304_122,,0.15163
E1953_117,0.14536,
E191_481,,0.6015
E764_220,,0.27444
E530_684,,0.8558899999999999
E748_557,,0.6967399999999999
E1134_243,,0.30326
E712_17,,0.02005
E1865_368,,0.4599
E1931_403,0.50376,
E981_203,,0.25313
E643_223,,0.2782
E96_101,0.12531,
E1746_400,,0.5
E1965_687,,0.85965
E907_433,,0.54135
E1566_783,,0.97995
E1053_231,,0.28822
E1607_111,,0.13784000000000002
E1292_197,0.24561,
E194_4,0.0037600000000000003,
E1168_636,,0.79574
E1506_314,,0.39223
E1345_407,,0.50877
E1747_575,,0.7193
E1400_534,0.66792,
E1483_2,,0.00125
E89_202,,0.25188
E405_592,,0.7406
E534_166,0.20676999999999998,
E1443_658,0.82331,
E1070_282,,0.35213
E5_608,,0.76065
E1642_602,,0.75313
E1416_134,,0.16667
E857_197,,0.24561
E854_705,0.88221,
E1486_568,0.71053,
E773_49,0.06015,
E1822_121,,0.15037999999999999
E1446_476,0.59524,
E545_475,,0.5939800000000001
E995_358,,0.44737
E601_509,,0.63659
E459_598,,0.74812
E591_154,,0.19172999999999998
E434_768,,0.96115
E1802_8,0.00877,
E1706_188,,0.23434000000000002
E204_567,0.70927,
E154_533,,0.66667
E1557_313,0.39098,
E65_383,,0.4787
E978_119,,0.14787
E1683_253,0.31579,
E1762_550,,0.68797
E1564_741,,0.92732
E529_448,,0.56015
E1473_141,,0.17544
E977_348,,0.43483999999999995
E85_35,,0.04261
E263_342,,0.42732
E1322_568,,0.71053
E777_759,0.9498700000000001,
E673_768,0.96115,
E197_190,0.23684000000000002,
E212_265,,0.33083
E1206_517,,0.64662
E1247_714,,0.8934799999999999
E576_230,,0.28697
E1622_482,,0.6027600000000001
E1055_140,,0.17419
E1727_185,,0.23058
E872_183,,0.22807
E1_21,,0.02506
E1415_109,,0.13534000000000002
E1928_582,,0.72807
E1969_478,,0.5977399999999999
E661_621,,0.77694
E1947_233,,0.29073000000000004
E232_461,,0.57644
E137_587,,0.73434
E1030_71,0.08772,
E848_189,,0.23559000000000002
E171_29,,0.035089999999999996
