GATA4,HDAC2,HDAC3,EIF2S2,TXNDC5,SEC24A,TRP53,ADGRA2,RAF1,TMEM9B,RAD21,TIMP3,FAM114A1,PDGFRA,GLI1,RFFL,TMEM59,GDPD5,RBPMS2,SERPINH1,FGF10,RAB2A,SEC11A,OOEP,GLIPR2,CHD7,KAT5,GHR,NACC1,GOT1,PXDN,RCC2,APEX1,NFYA,MYDGF,TDH,JARID2,ZIC3,SURF4,DERL1,RIF1,NELFA,DPF2,THAP11,GGA2,TCF15,GFPT2,PDE4DIP,CHST15,UBTF,CARHSP1,FBXW8,GNAI3,MRAS,KLF5,GABBR1,KLF4,SPARC,EHMT2,COPB1,IER2,GCNT2,PDIA6,KCTD10,CHD4,APPBP2,NRF1,TMEM30A,SNRPN,AKT1,DMAP1,FKBP9,FN1,COBL,PCOLCE,ZFHX3,UBQLN2,GNS,TMEM214,XBP1,CBX8,OGT,SELENON,COTL1,SUPT5,CMKLR1,NAA10,SELENOM,RAD23B,NMNAT2,SH3GLB1,HMGA1,PECAM1,EPOP,PCOLCE2,PDIA3,MAGED1,MFSD1,ELL2,TGOLN1,AVG
0.0,9.0,5.0,8.0,0.0,10.0,13.0,0.0,8.0,6.0,10.0,4.0,8.0,0.0,14.0,9.0,0.0,6.0,14.0,1.0,5.0,2.0,0.0,12.0,0.0,4.0,12.0,5.0,7.0,12.0,0.0,14.0,13.0,9.0,5.0,15.0,11.0,8.0,0.0,1.0,11.0,9.0,5.0,0.0,7.0,9.0,14.0,1.0,0.0,11.0,1.0,2.0,1.0,14.0,7.0,15.0,7.0,3.0,2.0,0.0,14.0,15.0,0.0,4.0,7.0,3.0,9.0,2.0,13.0,0.0,6.0,2.0,15.0,14.0,14.0,7.0,5.0,6.0,6.0,3.0,0.0,14.0,0.0,11.0,3.0,10.0,11.0,1.0,5.0,15.0,5.0,14.0,14.0,9.0,15.0,1.0,1.0,9.0,13.0,5.0,3.0
0.0,12.0,8.0,7.0,0.0,10.0,13.0,0.0,8.0,6.0,10.0,8.0,0.0,0.0,14.0,7.0,2.0,1.0,15.0,1.0,0.0,1.0,2.0,14.0,0.0,5.0,7.0,0.0,15.0,13.0,5.0,13.0,8.0,1.0,0.0,15.0,13.0,12.0,0.0,3.0,12.0,0.0,6.0,8.0,4.0,13.0,15.0,2.0,6.0,10.0,4.0,2.0,0.0,14.0,3.0,13.0,8.0,2.0,4.0,1.0,13.0,15.0,3.0,6.0,12.0,3.0,9.0,3.0,13.0,0.0,5.0,0.0,14.0,13.0,14.0,7.0,2.0,2.0,2.0,9.0,0.0,11.0,0.0,9.0,5.0,8.0,6.0,4.0,5.0,14.0,5.0,14.0,14.0,9.0,12.0,1.0,0.0,0.0,8.0,0.0,0.0
0.0,11.0,7.0,12.0,0.0,9.0,13.0,0.0,10.0,2.0,11.0,2.0,2.0,0.0,13.0,8.0,0.0,7.0,13.0,1.0,1.0,2.0,0.0,13.0,8.0,0.0,13.0,0.0,12.0,11.0,7.0,14.0,12.0,12.0,2.0,15.0,12.0,10.0,0.0,3.0,13.0,10.0,5.0,6.0,8.0,11.0,10.0,1.0,0.0,11.0,2.0,0.0,0.0,14.0,5.0,15.0,5.0,0.0,2.0,0.0,15.0,15.0,0.0,6.0,6.0,3.0,7.0,2.0,12.0,0.0,11.0,0.0,15.0,14.0,12.0,7.0,6.0,8.0,3.0,0.0,0.0,13.0,0.0,4.0,3.0,4.0,6.0,4.0,5.0,12.0,0.0,14.0,11.0,10.0,13.0,0.0,0.0,0.0,13.0,3.0,0.0
0.0,9.0,5.0,7.0,3.0,6.0,14.0,0.0,7.0,0.0,8.0,9.0,0.0,0.0,14.0,9.0,3.0,0.0,13.0,0.0,3.0,0.0,4.0,13.0,0.0,0.0,10.0,0.0,10.0,11.0,0.0,11.0,8.0,3.0,0.0,15.0,11.0,10.0,5.0,3.0,13.0,7.0,7.0,6.0,6.0,10.0,14.0,1.0,0.0,13.0,1.0,5.0,0.0,13.0,2.0,15.0,11.0,3.0,3.0,0.0,12.0,14.0,0.0,5.0,11.0,1.0,8.0,1.0,13.0,5.0,7.0,3.0,14.0,13.0,14.0,8.0,3.0,4.0,5.0,0.0,0.0,10.0,0.0,10.0,7.0,7.0,9.0,3.0,6.0,11.0,0.0,15.0,12.0,7.0,13.0,1.0,0.0,7.0,10.0,0.0,0.0
0.0,12.0,7.0,9.0,0.0,10.0,14.0,0.0,8.0,3.0,10.0,3.0,3.0,0.0,9.0,10.0,3.0,1.0,14.0,0.0,4.0,5.0,3.0,14.0,1.0,0.0,12.0,0.0,8.0,13.0,0.0,14.0,9.0,12.0,3.0,15.0,12.0,11.0,1.0,6.0,14.0,9.0,9.0,5.0,3.0,11.0,14.0,4.0,0.0,12.0,1.0,0.0,2.0,13.0,9.0,11.0,11.0,0.0,0.0,2.0,13.0,15.0,0.0,0.0,12.0,3.0,9.0,3.0,14.0,2.0,11.0,0.0,15.0,13.0,14.0,0.0,5.0,2.0,2.0,1.0,0.0,11.0,0.0,9.0,8.0,9.0,7.0,0.0,7.0,11.0,9.0,15.0,11.0,9.0,4.0,0.0,4.0,1.0,10.0,0.0,0.0
0.0,11.0,5.0,10.0,0.0,5.0,13.0,3.0,12.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,13.0,3.0,0.0,0.0,4.0,13.0,1.0,9.0,12.0,0.0,12.0,12.0,0.0,13.0,13.0,5.0,5.0,15.0,14.0,13.0,4.0,0.0,14.0,10.0,0.0,2.0,5.0,12.0,12.0,1.0,0.0,12.0,5.0,3.0,0.0,13.0,9.0,15.0,3.0,0.0,4.0,0.0,15.0,15.0,3.0,0.0,8.0,0.0,13.0,0.0,12.0,0.0,5.0,0.0,15.0,14.0,12.0,5.0,6.0,4.0,1.0,3.0,0.0,9.0,0.0,9.0,8.0,4.0,11.0,4.0,8.0,13.0,5.0,15.0,14.0,12.0,15.0,2.0,2.0,0.0,15.0,3.0,2.0
0.0,14.0,7.0,11.0,0.0,10.0,14.0,0.0,10.0,5.0,8.0,3.0,6.0,0.0,13.0,9.0,4.0,0.0,15.0,0.0,1.0,4.0,0.0,13.0,4.0,9.0,12.0,0.0,10.0,13.0,0.0,14.0,13.0,11.0,0.0,15.0,13.0,12.0,0.0,2.0,13.0,5.0,7.0,10.0,8.0,12.0,14.0,7.0,0.0,13.0,4.0,3.0,3.0,15.0,8.0,15.0,10.0,4.0,4.0,2.0,13.0,15.0,0.0,7.0,9.0,4.0,6.0,0.0,0.0,1.0,4.0,4.0,15.0,15.0,14.0,4.0,4.0,6.0,6.0,2.0,0.0,14.0,3.0,8.0,3.0,8.0,11.0,5.0,11.0,15.0,2.0,15.0,13.0,7.0,14.0,0.0,0.0,7.0,9.0,1.0,4.0
0.0,11.0,8.0,10.0,0.0,7.0,14.0,0.0,6.0,0.0,9.0,1.0,0.0,0.0,13.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,13.0,0.0,9.0,11.0,0.0,10.0,11.0,0.0,14.0,12.0,7.0,3.0,15.0,13.0,12.0,1.0,0.0,14.0,3.0,8.0,0.0,8.0,8.0,14.0,1.0,0.0,14.0,0.0,4.0,0.0,14.0,5.0,15.0,8.0,3.0,3.0,1.0,13.0,15.0,0.0,2.0,9.0,2.0,6.0,0.0,11.0,3.0,6.0,5.0,15.0,14.0,13.0,3.0,6.0,7.0,1.0,0.0,0.0,10.0,0.0,8.0,5.0,7.0,10.0,0.0,6.0,15.0,4.0,15.0,12.0,11.0,12.0,3.0,0.0,4.0,5.0,1.0,1.0
0.0,12.0,7.0,8.0,0.0,8.0,13.0,0.0,12.0,3.0,9.0,7.0,3.0,0.0,14.0,7.0,2.0,0.0,14.0,2.0,0.0,3.0,5.0,14.0,3.0,9.0,14.0,0.0,12.0,11.0,0.0,13.0,13.0,9.0,0.0,15.0,13.0,11.0,4.0,5.0,13.0,2.0,11.0,0.0,4.0,12.0,14.0,5.0,0.0,13.0,2.0,0.0,6.0,15.0,10.0,13.0,7.0,0.0,2.0,1.0,13.0,15.0,0.0,4.0,10.0,5.0,5.0,4.0,14.0,4.0,8.0,3.0,14.0,14.0,13.0,7.0,5.0,4.0,5.0,5.0,0.0,10.0,2.0,9.0,7.0,8.0,7.0,7.0,3.0,12.0,5.0,14.0,12.0,10.0,12.0,0.0,6.0,5.0,10.0,0.0,2.0
0.0,12.0,8.0,5.0,1.0,5.0,15.0,0.0,2.0,0.0,10.0,5.0,0.0,0.0,14.0,9.0,0.0,5.0,15.0,2.0,0.0,3.0,5.0,10.0,2.0,10.0,10.0,0.0,13.0,10.0,11.0,13.0,11.0,0.0,7.0,15.0,15.0,8.0,0.0,3.0,13.0,6.0,0.0,0.0,5.0,14.0,15.0,0.0,0.0,14.0,2.0,1.0,2.0,15.0,8.0,13.0,11.0,0.0,0.0,2.0,12.0,15.0,0.0,3.0,9.0,4.0,13.0,1.0,12.0,1.0,6.0,0.0,15.0,13.0,14.0,0.0,8.0,5.0,4.0,5.0,0.0,4.0,0.0,11.0,0.0,4.0,8.0,7.0,13.0,15.0,3.0,15.0,13.0,9.0,13.0,4.0,4.0,3.0,10.0,3.0,2.0
0.0,10.0,8.0,8.0,2.0,8.0,15.0,0.0,6.0,2.0,11.0,5.0,0.0,0.0,12.0,7.0,4.0,0.0,12.0,0.0,5.0,0.0,5.0,14.0,4.0,8.0,13.0,1.0,7.0,13.0,9.0,13.0,11.0,8.0,4.0,15.0,13.0,13.0,0.0,4.0,13.0,8.0,3.0,5.0,5.0,12.0,13.0,2.0,0.0,12.0,3.0,5.0,4.0,14.0,6.0,14.0,6.0,1.0,2.0,1.0,12.0,14.0,3.0,1.0,7.0,0.0,10.0,4.0,13.0,5.0,6.0,0.0,15.0,14.0,14.0,8.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,10.0,5.0,8.0,11.0,0.0,2.0,14.0,2.0,14.0,13.0,1.0,14.0,0.0,0.0,0.0,11.0,5.0,1.0
0.0,12.0,12.0,10.0,2.0,9.0,14.0,7.0,7.0,0.0,9.0,8.0,1.0,0.0,12.0,0.0,3.0,0.0,14.0,5.0,0.0,5.0,0.0,13.0,3.0,5.0,12.0,5.0,13.0,12.0,0.0,13.0,13.0,7.0,2.0,15.0,12.0,12.0,1.0,0.0,13.0,2.0,11.0,4.0,0.0,14.0,12.0,2.0,0.0,10.0,6.0,6.0,0.0,14.0,6.0,12.0,15.0,2.0,0.0,0.0,14.0,15.0,0.0,0.0,9.0,1.0,9.0,0.0,11.0,1.0,10.0,2.0,15.0,15.0,14.0,0.0,1.0,4.0,2.0,0.0,0.0,12.0,0.0,9.0,11.0,7.0,10.0,0.0,5.0,11.0,7.0,15.0,12.0,10.0,11.0,1.0,0.0,6.0,14.0,1.0,2.0
0.0,10.0,3.0,10.0,1.0,6.0,13.0,4.0,5.0,8.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,14.0,0.0,7.0,3.0,6.0,13.0,0.0,1.0,8.0,3.0,12.0,12.0,11.0,14.0,8.0,2.0,4.0,15.0,12.0,8.0,7.0,0.0,13.0,4.0,2.0,3.0,4.0,13.0,13.0,0.0,0.0,13.0,2.0,0.0,0.0,13.0,5.0,12.0,8.0,1.0,4.0,4.0,12.0,14.0,0.0,0.0,14.0,0.0,10.0,3.0,15.0,0.0,1.0,2.0,15.0,15.0,13.0,2.0,3.0,1.0,3.0,0.0,6.0,10.0,0.0,8.0,5.0,0.0,10.0,0.0,7.0,12.0,9.0,14.0,12.0,10.0,12.0,0.0,0.0,8.0,10.0,0.0,0.0
0.0,12.0,4.0,12.0,3.0,9.0,13.0,0.0,7.0,0.0,11.0,2.0,8.0,0.0,13.0,9.0,5.0,0.0,12.0,0.0,3.0,4.0,3.0,15.0,4.0,0.0,12.0,0.0,8.0,11.0,0.0,13.0,13.0,3.0,2.0,15.0,15.0,12.0,0.0,2.0,14.0,7.0,6.0,1.0,7.0,12.0,13.0,5.0,0.0,9.0,3.0,4.0,0.0,15.0,11.0,14.0,11.0,5.0,0.0,5.0,15.0,15.0,4.0,2.0,10.0,3.0,9.0,3.0,11.0,1.0,11.0,2.0,15.0,15.0,13.0,5.0,3.0,0.0,5.0,6.0,0.0,14.0,0.0,8.0,8.0,6.0,12.0,5.0,9.0,14.0,7.0,14.0,14.0,12.0,15.0,2.0,1.0,5.0,13.0,3.0,4.0
0.0,12.0,8.0,9.0,0.0,9.0,13.0,6.0,10.0,0.0,12.0,7.0,3.0,0.0,9.0,4.0,0.0,4.0,13.0,0.0,1.0,0.0,4.0,13.0,0.0,8.0,12.0,0.0,11.0,12.0,0.0,14.0,11.0,5.0,4.0,15.0,13.0,13.0,0.0,3.0,14.0,6.0,6.0,9.0,3.0,12.0,12.0,0.0,0.0,12.0,0.0,3.0,0.0,13.0,7.0,14.0,12.0,0.0,5.0,0.0,13.0,15.0,0.0,5.0,8.0,0.0,13.0,0.0,12.0,0.0,7.0,2.0,14.0,14.0,13.0,0.0,6.0,4.0,2.0,0.0,0.0,11.0,0.0,5.0,6.0,5.0,10.0,0.0,7.0,15.0,2.0,15.0,11.0,9.0,13.0,2.0,3.0,0.0,12.0,0.0,0.0
0.0,11.0,9.0,9.0,1.0,7.0,13.0,0.0,8.0,0.0,9.0,5.0,6.0,0.0,11.0,7.0,1.0,7.0,13.0,0.0,0.0,6.0,1.0,14.0,2.0,5.0,13.0,0.0,7.0,10.0,0.0,12.0,11.0,1.0,8.0,15.0,13.0,13.0,0.0,2.0,14.0,9.0,5.0,9.0,3.0,10.0,14.0,3.0,0.0,10.0,4.0,1.0,2.0,13.0,7.0,14.0,6.0,2.0,1.0,4.0,13.0,14.0,0.0,0.0,6.0,2.0,5.0,5.0,11.0,7.0,5.0,1.0,14.0,14.0,14.0,0.0,2.0,2.0,3.0,3.0,0.0,11.0,0.0,8.0,1.0,0.0,7.0,3.0,5.0,14.0,0.0,15.0,13.0,10.0,14.0,2.0,2.0,8.0,15.0,3.0,0.0
0.0,9.0,12.0,7.0,3.0,8.0,13.0,5.0,5.0,0.0,8.0,8.0,0.0,0.0,14.0,8.0,0.0,0.0,14.0,0.0,0.0,5.0,4.0,14.0,1.0,0.0,12.0,0.0,14.0,13.0,6.0,13.0,9.0,7.0,5.0,15.0,13.0,12.0,8.0,0.0,14.0,7.0,3.0,7.0,4.0,12.0,14.0,0.0,0.0,12.0,0.0,1.0,2.0,14.0,6.0,14.0,0.0,5.0,2.0,0.0,13.0,14.0,4.0,3.0,6.0,3.0,8.0,0.0,13.0,0.0,3.0,2.0,14.0,15.0,14.0,0.0,3.0,4.0,4.0,9.0,0.0,8.0,0.0,7.0,6.0,10.0,15.0,0.0,7.0,13.0,3.0,15.0,12.0,10.0,11.0,0.0,0.0,4.0,11.0,4.0,2.0
0.0,11.0,7.0,10.0,2.0,5.0,14.0,0.0,6.0,0.0,8.0,1.0,0.0,0.0,9.0,0.0,4.0,0.0,14.0,0.0,6.0,1.0,3.0,14.0,0.0,0.0,9.0,5.0,9.0,12.0,0.0,13.0,13.0,2.0,0.0,15.0,14.0,14.0,2.0,2.0,13.0,7.0,7.0,8.0,5.0,12.0,13.0,1.0,0.0,11.0,2.0,0.0,2.0,13.0,11.0,14.0,8.0,1.0,1.0,0.0,14.0,15.0,3.0,5.0,14.0,4.0,8.0,0.0,13.0,0.0,10.0,2.0,15.0,15.0,13.0,0.0,4.0,1.0,5.0,4.0,0.0,8.0,0.0,8.0,5.0,5.0,11.0,0.0,9.0,12.0,6.0,14.0,11.0,7.0,15.0,3.0,4.0,6.0,6.0,7.0,1.0
0.0,9.0,10.0,5.0,5.0,8.0,14.0,0.0,8.0,6.0,10.0,6.0,0.0,0.0,14.0,7.0,5.0,0.0,13.0,3.0,0.0,5.0,7.0,13.0,0.0,11.0,10.0,0.0,10.0,10.0,6.0,11.0,11.0,6.0,0.0,15.0,14.0,14.0,1.0,4.0,12.0,11.0,5.0,11.0,6.0,12.0,15.0,3.0,0.0,11.0,2.0,1.0,4.0,14.0,7.0,13.0,1.0,2.0,6.0,2.0,14.0,14.0,0.0,6.0,4.0,5.0,9.0,3.0,14.0,0.0,1.0,0.0,14.0,14.0,14.0,7.0,5.0,3.0,4.0,6.0,0.0,12.0,0.0,8.0,1.0,10.0,9.0,4.0,7.0,12.0,6.0,15.0,12.0,10.0,14.0,0.0,3.0,6.0,7.0,3.0,2.0
0.0,10.0,5.0,10.0,1.0,6.0,12.0,0.0,5.0,0.0,10.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,11.0,2.0,10.0,10.0,0.0,15.0,12.0,0.0,14.0,13.0,12.0,4.0,15.0,13.0,14.0,1.0,1.0,11.0,8.0,5.0,1.0,2.0,13.0,14.0,0.0,0.0,12.0,2.0,0.0,0.0,15.0,7.0,14.0,5.0,1.0,1.0,0.0,14.0,15.0,0.0,5.0,10.0,1.0,10.0,0.0,13.0,3.0,5.0,0.0,13.0,14.0,13.0,6.0,3.0,1.0,0.0,0.0,0.0,12.0,0.0,7.0,3.0,8.0,8.0,4.0,8.0,13.0,0.0,15.0,14.0,12.0,12.0,0.0,0.0,3.0,5.0,4.0,0.0
0.0,9.0,5.0,10.0,3.0,7.0,15.0,0.0,8.0,9.0,10.0,2.0,0.0,0.0,13.0,11.0,4.0,0.0,13.0,0.0,5.0,5.0,3.0,13.0,0.0,9.0,8.0,0.0,9.0,10.0,0.0,14.0,12.0,6.0,2.0,15.0,14.0,12.0,5.0,0.0,12.0,6.0,3.0,7.0,6.0,12.0,14.0,5.0,0.0,9.0,5.0,0.0,1.0,15.0,10.0,15.0,14.0,1.0,2.0,1.0,15.0,15.0,7.0,1.0,9.0,8.0,9.0,1.0,12.0,3.0,8.0,4.0,14.0,15.0,14.0,7.0,2.0,5.0,6.0,9.0,0.0,8.0,0.0,11.0,4.0,5.0,11.0,5.0,7.0,13.0,6.0,15.0,13.0,10.0,15.0,1.0,5.0,1.0,11.0,3.0,4.0
