Gene1,Gene2,EdgeWeight
HDAC2,DMAP1,-1.5465397834777832
HDAC2,FKBP9,-4.733134031295776
HDAC2,FN1,-4.68440318107605
HDAC2,COBL,-5.830389499664307
HDAC2,PCOLCE,-4.916917085647583
HDAC2,ZFHX3,-3.1499966382980347
HDAC2,UBQLN2,-5.302087306976318
HDAC2,GNS,-4.590859413146973
HDAC2,TMEM214,-5.0354204177856445
HDAC2,XBP1,-4.799816370010376
HDAC2,CBX8,-3.563157081604004
HDAC2,OGT,-4.760557413101196
HDAC2,SELENON,-2.049735963344574
HDAC2,COTL1,-6.407551288604736
HDAC2,SUPT5,-3.855808973312378
HDAC2,CMKLR1,-4.473077774047852
HDAC2,NAA10,-2.864027261734009
HDAC2,SELENOM,-3.1365736722946167
HDAC2,RAD23B,-5.7870073318481445
HDAC2,NMNAT2,-4.122707843780518
HDAC2,SH3GLB1,-1.226403295993805
HDAC2,HMGA1,-2.638091564178467
HDAC2,PECAM1,-3.5717902183532715
HDAC2,EPOP,-4.166828632354736
HDAC2,PCOLCE2,-2.8524739742279053
HDAC2,PDIA3,-3.7654690742492676
HDAC2,MAGED1,-3.9677207469940186
HDAC2,MFSD1,-2.613312602043152
HDAC2,ELL2,-5.721073865890503
HDAC2,TGOLN1,-7.942301034927368
HDAC2,AVG,-9.89332914352417
HDAC3,GATA4,-8.290380239486694
HDAC3,HDAC2,-6.840148210525513
HDAC3,HDAC3,-7.019999742507935
HDAC3,EIF2S2,-4.764334201812744
HDAC3,TXNDC5,-4.669176340103149
HDAC3,SEC24A,-7.0586981773376465
HDAC3,TRP53,-4.917527437210083
HDAC3,ADGRA2,-3.3606806993484497
HDAC3,RAF1,0.02714051678776741
HDAC3,TMEM9B,-4.224585056304932
HDAC3,RAD21,-7.853996276855469
HDAC3,TIMP3,-0.7216649800539017
HDAC3,FAM114A1,-2.613103985786438
HDAC3,PDGFRA,-8.45337724685669
HDAC3,GLI1,-8.069053173065186
HDAC3,RFFL,-1.3180522918701172
HDAC3,TMEM59,-3.854383111000061
HDAC3,GDPD5,-7.628180503845215
HDAC3,RBPMS2,-3.91719651222229
HDAC3,SERPINH1,-9.742537021636963
HDAC3,FGF10,-4.648909568786621
HDAC3,RAB2A,-5.170699596405029
HDAC3,SEC11A,-4.471544981002808
HDAC3,OOEP,-7.603355407714844
HDAC3,GLIPR2,-5.679931640625
HDAC3,CHD7,0.01749095320701599
HDAC3,KAT5,-2.7185025215148926
HDAC3,GHR,-4.032756209373474
HDAC3,NACC1,-1.5089415311813354
HDAC3,GOT1,-4.765656471252441
HDAC3,PXDN,-6.420574903488159
HDAC3,RCC2,-5.3252272605896
HDAC3,APEX1,-5.573804140090942
HDAC3,NFYA,-0.09677738323807716
HDAC3,MYDGF,-4.883745908737183
HDAC3,TDH,-4.9754958152771
HDAC3,JARID2,-4.319613933563232
HDAC3,ZIC3,-4.544219493865967
HDAC3,SURF4,-5.955508470535278
HDAC3,DERL1,-4.924731254577637
HDAC3,RIF1,-3.2856080532073975
HDAC3,NELFA,-2.1362082958221436
HDAC3,DPF2,-0.7312051653862
HDAC3,THAP11,-4.773890972137451
HDAC3,GGA2,-5.835247755050659
HDAC3,TCF15,-5.679393768310547
HDAC3,GFPT2,-7.202335834503174
HDAC3,PDE4DIP,-3.727581262588501
HDAC3,CHST15,-6.472439289093018
HDAC3,UBTF,-5.824812412261963
HDAC3,CARHSP1,-3.2919764518737793
HDAC3,FBXW8,-4.204745531082153
HDAC3,GNAI3,-5.267427921295166
HDAC3,MRAS,-6.828961133956909
HDAC3,KLF5,-3.6394110918045044
HDAC3,GABBR1,-1.8808026909828186
HDAC3,KLF4,-2.217763066291809
HDAC3,SPARC,-2.8443816900253296
HDAC3,EHMT2,-3.9321279525756836
HDAC3,COPB1,-2.822421073913574
HDAC3,IER2,-2.3154404163360596
HDAC3,GCNT2,-7.0300726890563965
HDAC3,PDIA6,-6.04978609085083
HDAC3,KCTD10,-1.8690714240074158
HDAC3,CHD4,-2.51401948928833
HDAC3,APPBP2,-5.108017444610596
HDAC3,NRF1,-2.7850518226623535
HDAC3,TMEM30A,-4.754206418991089
HDAC3,SNRPN,-4.857957363128662
HDAC3,AKT1,-3.639866352081299
HDAC3,DMAP1,-2.7165311574935913
HDAC3,FKBP9,-3.69366717338562
HDAC3,FN1,-4.776390552520752
HDAC3,COBL,-7.149896621704102
HDAC3,PCOLCE,-7.213727712631226
HDAC3,ZFHX3,-2.447901487350464
HDAC3,UBQLN2,-4.664818525314331
HDAC3,GNS,-3.027116060256958
HDAC3,TMEM214,-1.588757336139679
HDAC3,XBP1,-1.2673348188400269
HDAC3,CBX8,-6.7636048793792725
HDAC3,OGT,-2.9050265550613403
HDAC3,SELENON,-3.396284818649292
HDAC3,COTL1,-3.758849859237671
HDAC3,SUPT5,-2.20801317691803
HDAC3,CMKLR1,-3.471729040145874
HDAC3,NAA10,-2.039683759212494
HDAC3,SELENOM,-2.858175754547119
HDAC3,RAD23B,-3.271443009376526
HDAC3,NMNAT2,-4.175208806991577
HDAC3,SH3GLB1,-2.058388352394104
HDAC3,HMGA1,-7.2407753467559814
HDAC3,PECAM1,-4.397267580032349
HDAC3,EPOP,-3.2490415573120117
HDAC3,PCOLCE2,-4.639434814453125
HDAC3,PDIA3,-3.626349449157715
HDAC3,MAGED1,-4.108483552932739
HDAC3,MFSD1,-1.8800696730613708
HDAC3,ELL2,-0.859516441822052
HDAC3,TGOLN1,0.5382198244333267
HDAC3,AVG,-5.179912567138672
EIF2S2,GATA4,-7.171027660369873
EIF2S2,HDAC2,-4.660457611083984
EIF2S2,HDAC3,-5.587326526641846
EIF2S2,EIF2S2,-8.525980710983276
EIF2S2,TXNDC5,-4.237794876098633
EIF2S2,SEC24A,-6.65622615814209
EIF2S2,TRP53,-5.5882978439331055
EIF2S2,ADGRA2,-5.107244968414307
EIF2S2,RAF1,-2.4515511989593506
EIF2S2,TMEM9B,-0.45414161682128906
EIF2S2,RAD21,-8.97035264968872
EIF2S2,TIMP3,-3.5920748710632324
EIF2S2,FAM114A1,-2.4932223558425903
EIF2S2,PDGFRA,-7.007138013839722
EIF2S2,GLI1,-8.298701286315918
EIF2S2,RFFL,-3.32763934135437
EIF2S2,TMEM59,-2.820243716239929
EIF2S2,GDPD5,-6.748061418533325
EIF2S2,RBPMS2,-7.087913751602173
EIF2S2,SERPINH1,-7.281223297119141
EIF2S2,FGF10,-3.0361262559890747
EIF2S2,RAB2A,-3.106597423553467
EIF2S2,SEC11A,-1.9222107529640198
EIF2S2,OOEP,-7.074057579040527
EIF2S2,GLIPR2,-6.428469896316528
EIF2S2,CHD7,-4.38508939743042
EIF2S2,KAT5,-1.7017021179199219
EIF2S2,GHR,-6.747201442718506
EIF2S2,NACC1,-3.535422205924988
EIF2S2,GOT1,-4.018123626708984
EIF2S2,PXDN,-3.681907892227173
EIF2S2,RCC2,-4.895794153213501
EIF2S2,APEX1,-4.453205108642578
EIF2S2,NFYA,-3.89554226398468
EIF2S2,MYDGF,-2.1073758006095886
EIF2S2,TDH,-2.6244256496429443
EIF2S2,JARID2,-5.103824853897095
EIF2S2,ZIC3,-4.7091758251190186
EIF2S2,SURF4,-4.751338005065918
EIF2S2,DERL1,-4.980588436126709
EIF2S2,RIF1,-5.78951358795166
EIF2S2,NELFA,-6.033719778060913
EIF2S2,DPF2,-4.097190856933594
EIF2S2,THAP11,-2.712804913520813
EIF2S2,GGA2,-1.0636685490608215
EIF2S2,TCF15,-4.194903612136841
EIF2S2,GFPT2,-4.919921398162842
EIF2S2,PDE4DIP,-3.1528221368789673
EIF2S2,CHST15,-4.314456224441528
EIF2S2,UBTF,-6.226630926132202
EIF2S2,CARHSP1,-2.0822805166244507
EIF2S2,FBXW8,-1.0927322804927826
EIF2S2,GNAI3,-4.94331693649292
EIF2S2,MRAS,-3.6790637969970703
EIF2S2,KLF5,-6.428050994873047
EIF2S2,GABBR1,-6.019460201263428
EIF2S2,KLF4,-6.155780792236328
EIF2S2,SPARC,-4.125429391860962
EIF2S2,EHMT2,-2.995133638381958
EIF2S2,COPB1,-4.9681150913238525
EIF2S2,IER2,-4.839637279510498
EIF2S2,GCNT2,-4.1810972690582275
EIF2S2,PDIA6,-6.6838603019714355
EIF2S2,KCTD10,-1.91325181722641
EIF2S2,CHD4,-3.4437427520751953
EIF2S2,APPBP2,-1.923041582107544
EIF2S2,NRF1,-6.598801374435425
EIF2S2,TMEM30A,-3.8246668577194214
EIF2S2,SNRPN,-7.524908781051636
EIF2S2,AKT1,-3.655459403991699
EIF2S2,DMAP1,-1.6811929941177368
EIF2S2,FKBP9,-3.2076631784439087
EIF2S2,FN1,-4.998005151748657
EIF2S2,COBL,-8.13034439086914
EIF2S2,PCOLCE,-6.8284759521484375
EIF2S2,ZFHX3,-3.33578622341156
EIF2S2,UBQLN2,-4.296793222427368
EIF2S2,GNS,-6.07735800743103
EIF2S2,TMEM214,-2.0174648761749268
EIF2S2,XBP1,-3.4365447759628296
EIF2S2,CBX8,-3.3145703077316284
EIF2S2,OGT,-4.7717626094818115
EIF2S2,SELENON,-4.4085705280303955
EIF2S2,COTL1,-8.043656587600708
EIF2S2,SUPT5,-5.329555511474609
EIF2S2,CMKLR1,-3.659687638282776
EIF2S2,NAA10,-4.818337678909302
EIF2S2,SELENOM,-2.767141819000244
EIF2S2,RAD23B,-5.470649719238281
EIF2S2,NMNAT2,-6.739346027374268
EIF2S2,SH3GLB1,-4.231592655181885
EIF2S2,HMGA1,-7.859339714050293
EIF2S2,PECAM1,-5.25806188583374
EIF2S2,EPOP,-4.749140739440918
EIF2S2,PCOLCE2,-5.819726943969727
EIF2S2,PDIA3,-4.878872871398926
EIF2S2,MAGED1,-1.4684789180755615
EIF2S2,MFSD1,5.959792613983154
EIF2S2,ELL2,3.08966064453125
EIF2S2,TGOLN1,4.939833164215088
EIF2S2,AVG,4.087709903717041
TXNDC5,GATA4,-2.1336491107940674
TXNDC5,HDAC2,-3.7826775312423706
TXNDC5,HDAC3,-6.105092287063599
TXNDC5,EIF2S2,-8.0616774559021
TXNDC5,TXNDC5,-3.704953193664551
TXNDC5,SEC24A,-5.4164886474609375
TXNDC5,TRP53,-6.043115139007568
TXNDC5,ADGRA2,-4.432774066925049
TXNDC5,RAF1,-6.106663465499878
TXNDC5,TMEM9B,-6.8089821338653564
TXNDC5,RAD21,-6.550553321838379
TXNDC5,TIMP3,-4.554503917694092
TXNDC5,FAM114A1,-5.434020280838013
TXNDC5,PDGFRA,-1.3917259573936462
TXNDC5,GLI1,-4.640550136566162
TXNDC5,RFFL,-5.636043310165405
TXNDC5,TMEM59,-5.000926494598389
TXNDC5,GDPD5,-2.5195552110671997
TXNDC5,RBPMS2,-4.679656028747559
TXNDC5,SERPINH1,-1.9182162880897522
TXNDC5,FGF10,-2.8663947582244873
TXNDC5,RAB2A,-6.871778726577759
TXNDC5,SEC11A,-6.54018759727478
TXNDC5,OOEP,-6.255173444747925
TXNDC5,GLIPR2,-2.119856119155884
TXNDC5,CHD7,-5.705452919006348
TXNDC5,KAT5,-4.074679136276245
TXNDC5,GHR,-4.710029125213623
TXNDC5,NACC1,-5.63520073890686
TXNDC5,GOT1,-6.616838455200195
TXNDC5,PXDN,-2.383615732192993
TXNDC5,RCC2,-6.679708242416382
TXNDC5,APEX1,-3.515999913215637
TXNDC5,NFYA,-7.8942742347717285
TXNDC5,MYDGF,-6.916640758514404
TXNDC5,TDH,-5.629613399505615
TXNDC5,JARID2,-6.454476833343506
TXNDC5,ZIC3,-6.862342834472656
TXNDC5,SURF4,-6.8046698570251465
TXNDC5,DERL1,-6.657942295074463
TXNDC5,RIF1,-4.752002477645874
TXNDC5,NELFA,-6.634995937347412
TXNDC5,DPF2,-4.27069878578186
TXNDC5,THAP11,-6.320955038070679
TXNDC5,GGA2,-6.257699489593506
TXNDC5,TCF15,-5.494588375091553
TXNDC5,GFPT2,-5.6484434604644775
TXNDC5,PDE4DIP,-8.078802824020386
TXNDC5,CHST15,-3.7766594886779785
TXNDC5,UBTF,-6.044192314147949
TXNDC5,CARHSP1,-6.472537040710449
TXNDC5,FBXW8,-5.923912525177002
TXNDC5,GNAI3,-7.128789901733398
TXNDC5,MRAS,-3.5964670181274414
TXNDC5,KLF5,-6.6330790519714355
TXNDC5,GABBR1,-4.380550503730774
TXNDC5,KLF4,-3.503114700317383
TXNDC5,SPARC,-5.806385517120361
TXNDC5,EHMT2,-6.8247456550598145
TXNDC5,COPB1,-5.0191490650177
TXNDC5,IER2,-3.782407283782959
TXNDC5,GCNT2,-6.3425092697143555
TXNDC5,PDIA6,-5.992441892623901
TXNDC5,KCTD10,-4.678523540496826
TXNDC5,CHD4,-5.617786645889282
TXNDC5,APPBP2,-5.531962633132935
TXNDC5,NRF1,-5.911523342132568
TXNDC5,TMEM30A,-5.8420069217681885
TXNDC5,SNRPN,-5.511582374572754
TXNDC5,AKT1,-5.191802501678467
TXNDC5,DMAP1,-6.382246494293213
TXNDC5,FKBP9,-5.68349552154541
TXNDC5,FN1,-6.540904760360718
TXNDC5,COBL,-7.443859577178955
TXNDC5,PCOLCE,-6.748677730560303
TXNDC5,ZFHX3,-6.46591854095459
TXNDC5,UBQLN2,-4.9295690059661865
TXNDC5,GNS,-5.483670234680176
TXNDC5,TMEM214,-6.9265735149383545
TXNDC5,XBP1,-3.824918270111084
TXNDC5,CBX8,-4.050529837608337
TXNDC5,OGT,-7.9647157192230225
TXNDC5,SELENON,-6.3513689041137695
TXNDC5,COTL1,-2.743353009223938
TXNDC5,SUPT5,-5.580732583999634
TXNDC5,CMKLR1,-6.0548059940338135
TXNDC5,NAA10,-6.098231554031372
TXNDC5,SELENOM,-5.598905563354492
TXNDC5,RAD23B,-5.258706092834473
TXNDC5,NMNAT2,-5.143903970718384
TXNDC5,SH3GLB1,-6.563260555267334
TXNDC5,HMGA1,-5.381019830703735
TXNDC5,PECAM1,-4.936433792114258
TXNDC5,EPOP,-4.211677551269531
TXNDC5,PCOLCE2,-5.688690185546875
TXNDC5,PDIA3,-7.728771924972534
TXNDC5,MAGED1,-11.61176061630249
TXNDC5,MFSD1,-9.59673023223877
TXNDC5,ELL2,-10.554558753967285
TXNDC5,TGOLN1,-8.556407928466797
TXNDC5,AVG,-15.101800918579102
SEC24A,GATA4,-3.624060869216919
SEC24A,HDAC2,-6.363820552825928
SEC24A,HDAC3,-3.9160813093185425
SEC24A,EIF2S2,-4.113720178604126
SEC24A,TXNDC5,-3.1694904565811157
SEC24A,SEC24A,-2.6327834129333496
SEC24A,TRP53,-6.421430826187134
SEC24A,ADGRA2,-2.0167002081871033
SEC24A,RAF1,-1.3515269756317139
SEC24A,TMEM9B,-5.6758713722229
SEC24A,RAD21,-6.264968395233154
SEC24A,TIMP3,-2.0588680505752563
SEC24A,FAM114A1,-3.256682872772217
SEC24A,PDGFRA,-3.3794755935668945
SEC24A,GLI1,-6.9625654220581055
SEC24A,RFFL,-0.35766535997390747
SEC24A,TMEM59,-3.228135585784912
SEC24A,GDPD5,-5.656481742858887
SEC24A,RBPMS2,-4.765446186065674
SEC24A,SERPINH1,-5.991894245147705
SEC24A,FGF10,-4.42615270614624
SEC24A,RAB2A,-1.7195230722427368
SEC24A,SEC11A,-2.784182906150818
SEC24A,OOEP,-6.61147928237915
SEC24A,GLIPR2,-3.4103336334228516
SEC24A,CHD7,-1.5419960618019104
SEC24A,KAT5,-3.9687421321868896
SEC24A,GHR,-2.1163588762283325
SEC24A,NACC1,-4.737996578216553
SEC24A,GOT1,-5.527023077011108
SEC24A,PXDN,-0.3390009105205536
SEC24A,RCC2,-6.431373119354248
SEC24A,APEX1,-5.530421495437622
SEC24A,NFYA,-3.3546249866485596
SEC24A,MYDGF,-4.541267395019531
SEC24A,TDH,-8.010303735733032
SEC24A,JARID2,-7.05214786529541
SEC24A,ZIC3,-2.872942566871643
SEC24A,SURF4,-5.8914265632629395
SEC24A,DERL1,-3.8247592449188232
SEC24A,RIF1,-6.279752969741821
SEC24A,NELFA,-5.635718107223511
SEC24A,DPF2,-3.1175097227096558
SEC24A,THAP11,-4.291864395141602
SEC24A,GGA2,-1.6714628338813782
SEC24A,TCF15,-5.926649332046509
SEC24A,GFPT2,-7.919750928878784
SEC24A,PDE4DIP,-2.434072256088257
SEC24A,CHST15,-3.4390130043029785
SEC24A,UBTF,-2.021435856819153
SEC24A,CARHSP1,-2.5869890451431274
SEC24A,FBXW8,-4.823123931884766
SEC24A,GNAI3,-2.9112240076065063
SEC24A,MRAS,-6.578994512557983
SEC24A,KLF5,-2.629868268966675
SEC24A,GABBR1,-5.201269149780273
SEC24A,KLF4,-2.9275912046432495
SEC24A,SPARC,-4.291836500167847
SEC24A,EHMT2,-3.2270230054855347
SEC24A,COPB1,-6.09479546546936
SEC24A,IER2,-5.1109113693237305
SEC24A,GCNT2,-8.44639253616333
SEC24A,PDIA6,-5.09272027015686
SEC24A,KCTD10,-5.0058324337005615
SEC24A,CHD4,-1.9697334170341492
SEC24A,APPBP2,-3.6336159706115723
SEC24A,NRF1,-4.572851896286011
SEC24A,TMEM30A,-4.280136585235596
SEC24A,SNRPN,-5.926212787628174
SEC24A,AKT1,-4.384083032608032
SEC24A,DMAP1,-1.9660763144493103
SEC24A,FKBP9,-4.616869688034058
SEC24A,FN1,-4.709564208984375
SEC24A,COBL,-7.350554466247559
SEC24A,PCOLCE,-7.731956720352173
SEC24A,ZFHX3,-3.530076503753662
SEC24A,UBQLN2,-3.368228316307068
SEC24A,GNS,-2.384004592895508
SEC24A,TMEM214,-5.7118940353393555
SEC24A,XBP1,-5.685788631439209
SEC24A,CBX8,-3.255519390106201
SEC24A,OGT,-4.167755126953125
SEC24A,SELENON,-2.4122421741485596
SEC24A,COTL1,-2.8661904335021973
SEC24A,SUPT5,-2.88636577129364
SEC24A,CMKLR1,-3.171199679374695
SEC24A,NAA10,-5.870430946350098
SEC24A,SELENOM,-1.1728311777114868
SEC24A,RAD23B,-2.443264126777649
SEC24A,NMNAT2,-7.563331127166748
SEC24A,SH3GLB1,-4.132755994796753
SEC24A,HMGA1,-4.685070753097534
SEC24A,PECAM1,-3.5623239278793335
SEC24A,EPOP,0.3508775681257248
SEC24A,PCOLCE2,-4.981557369232178
SEC24A,PDIA3,-8.82823896408081
SEC24A,MAGED1,-8.244135856628418
SEC24A,MFSD1,-7.597722768783569
SEC24A,ELL2,-8.560423851013184
SEC24A,TGOLN1,-6.17760157585144
SEC24A,AVG,-13.278316020965576
TRP53,GATA4,-8.012325763702393
TRP53,HDAC2,-4.317712068557739
TRP53,HDAC3,-5.065893888473511
TRP53,EIF2S2,-5.786030054092407
TRP53,TXNDC5,-2.7118632793426514
TRP53,SEC24A,-5.296770095825195
TRP53,TRP53,-6.488364934921265
TRP53,ADGRA2,-5.578672647476196
TRP53,RAF1,-3.7600868940353394
TRP53,TMEM9B,-3.033693552017212
TRP53,RAD21,-4.515676021575928
TRP53,TIMP3,-2.999308705329895
TRP53,FAM114A1,-5.214082479476929
TRP53,PDGFRA,-7.411163330078125
TRP53,GLI1,-5.375824451446533
TRP53,RFFL,-2.1602076292037964
TRP53,TMEM59,-2.731083393096924
TRP53,GDPD5,-6.130806922912598
TRP53,RBPMS2,-4.6888885498046875
TRP53,SERPINH1,-7.651531219482422
TRP53,FGF10,-4.34837794303894
TRP53,RAB2A,-5.5733771324157715
TRP53,SEC11A,-4.514755964279175
TRP53,OOEP,-6.127983093261719
TRP53,GLIPR2,-5.416232347488403
TRP53,CHD7,-1.3381935954093933
TRP53,KAT5,-3.5424736738204956
TRP53,GHR,-2.9940309524536133
TRP53,NACC1,-4.668231010437012
TRP53,GOT1,-3.7656328678131104
TRP53,PXDN,-3.9684548377990723
TRP53,RCC2,-7.065456867218018
TRP53,APEX1,-6.38128137588501
TRP53,NFYA,-0.5906949937343597
TRP53,MYDGF,-5.955438613891602
TRP53,TDH,-2.52644145488739
TRP53,JARID2,-2.6946680545806885
TRP53,ZIC3,-5.427764415740967
TRP53,SURF4,-3.9993741512298584
TRP53,DERL1,-7.03189754486084
TRP53,RIF1,-3.8304027318954468
TRP53,NELFA,-3.941899299621582
TRP53,DPF2,-2.7022132873535156
TRP53,THAP11,-0.8913652300834656
TRP53,GGA2,-6.875669002532959
TRP53,TCF15,-5.40574312210083
TRP53,GFPT2,-4.1188507080078125
TRP53,PDE4DIP,-5.749410629272461
TRP53,CHST15,-4.441776275634766
TRP53,UBTF,-6.608025312423706
TRP53,CARHSP1,-3.312416434288025
TRP53,FBXW8,-2.998852849006653
TRP53,GNAI3,-3.365505576133728
TRP53,MRAS,-3.9911842346191406
TRP53,KLF5,-5.515929460525513
TRP53,GABBR1,-2.81630802154541
TRP53,KLF4,-2.1734622716903687
TRP53,SPARC,-2.8996546268463135
TRP53,EHMT2,-3.885892391204834
