,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E393_535,,,0.6691699999999999,
E1845_727,,0.9097700000000001,,
E757_639,,,,0.7995
E1944_678,,,0.8483700000000001,
E1855_783,0.97995,,,
E1891_365,,,0.45614,
E625_307,,,0.38345999999999997,
E233_763,,0.95489,,
E1806_201,,,0.25063,
E738_501,,,0.62657,
E921_772,,0.9661700000000001,,
E1615_279,,0.34836999999999996,,
E766_340,,,0.42481,
E1150_490,,,,0.61278
E647_222,,0.27694,,
E504_218,,0.27193,,
E1275_579,,,0.72431,
E731_773,,0.9674200000000001,,
E59_709,,0.8872200000000001,,
E1923_486,,0.60777,,
E1077_179,0.22305999999999998,,,
E506_194,,,,0.24185
E1459_508,,0.63534,,
E432_61,,0.07518999999999999,,
E1984_505,,,0.63158,
E1314_147,,,0.18295999999999998,
E113_530,,,0.66291,
E370_742,,0.9285700000000001,,
E1634_261,,,0.32581,
E1247_292,,0.36466,,
E1645_481,,0.6015,,
E1894_254,,,,0.31704
E1738_606,,,0.75815,
E1968_469,,,0.5864699999999999,
E273_645,,,0.80702,
E1344_788,,0.9862200000000001,,
E159_6,0.00627,,,
E107_561,,,0.70175,
E1655_625,,0.78195,,
E1677_373,,,0.46617,
E1703_512,,0.64035,,
E1739_702,,,0.87845,
E308_65,,0.0802,,
E703_785,,0.98246,,
E1505_255,,0.3183,,
E580_392,,,0.48996999999999996,
E1081_266,,,0.33208000000000004,
E101_326,,,,0.40726999999999997
E181_335,,,0.41855,
E524_557,0.6967399999999999,,,
E890_619,,,,0.77444
E1301_655,,,0.81955,
E46_724,,0.90602,,
E677_451,,,0.56391,
E1990_228,0.28446,,,
E940_792,,,0.9912299999999999,
E314_691,,,0.86466,
E1789_594,,0.74311,,
E1018_388,,,0.48496000000000006,
E268_518,,,0.64787,
E598_365,,,,0.45614
E1363_618,,,0.77318,
E1910_285,,,0.35589,
E1537_278,,0.34712,,
E892_774,,,,0.96867
E845_372,,0.46491000000000005,,
E1666_735,,,,0.9198
E344_420,,0.5250600000000001,,
E160_371,,,,0.46366
E1809_638,,,0.79825,
E661_232,,0.28947,,
E1020_182,,,0.22682,
E943_645,,,0.80702,
E929_68,,,,0.08396
E1575_431,,,,0.53885
E1213_694,,0.8684200000000001,,
E1079_74,,,0.09147999999999999,
E1289_711,,,0.8897200000000001,
E900_375,,,0.46867,
E796_700,,,0.8759399999999999,
E292_133,,,0.16541,
E471_339,,0.42356000000000005,,
E88_661,,0.8270700000000001,,
E1154_698,0.8734299999999999,,,
E967_691,,,0.86466,
E1515_388,,0.48496000000000006,,
E206_759,,,,0.9498700000000001
E1091_173,,,0.21554,
E1581_462,,,0.5776899999999999,
E555_445,,0.5563899999999999,,
E1219_341,0.42607,,,
E124_577,,,,0.7218
E1398_500,,,0.62531,
E1857_780,,,0.97619,
E739_716,,,0.89599,
E1096_469,,0.5864699999999999,,
E67_302,,0.37719,,
E70_396,,0.49499,,
E593_273,,,0.34085,
E313_250,,,0.31203000000000003,
E115_497,,,0.62155,
E18_758,,,0.94862,
E1955_581,,,,0.72682
E1222_423,,,0.52882,
E668_180,,,,0.22430999999999998
E1732_751,,0.93985,,
E139_770,,,,0.9636600000000001
E1704_87,,,0.10777,
E1933_420,,,,0.5250600000000001
E641_566,,,0.70802,
E1178_236,,0.29449000000000003,,
E180_441,,0.55138,,
E1041_116,,,0.14411,
E1364_16,,,0.0188,
E1004_58,,0.07143,,
E348_515,,,0.6441100000000001,
E814_252,,,0.31454,
E1523_268,,,0.33459,
E1102_565,,0.70677,,
E1410_131,0.16291,,,
E1061_739,,,0.92481,
E1189_417,0.5213,,,
E752_392,,0.48996999999999996,,
E763_344,,0.42982,,
E97_512,,,,0.64035
E1661_656,,,0.8208,
E444_392,,0.48996999999999996,,
E1039_330,,,0.41228000000000004,
E143_250,,0.31203000000000003,,
E590_197,,,0.24561,
E490_418,,,0.52256,
E235_689,,,0.86216,
E420_728,,,0.9110299999999999,
E1583_81,,0.10025,,
E126_275,,0.34336,,
E642_245,,0.30576,,
E1358_39,,,0.047619999999999996,
E1714_247,,0.30827,,
E86_753,0.9423600000000001,,,
E1264_176,,,,0.2193
E152_206,,,0.25689,
E1947_292,,,,0.36466
E1883_106,,,0.13158,
E877_448,,,0.56015,
E173_163,,,,0.20301
E112_555,0.69424,,,
E27_431,,,0.53885,
E619_473,,,,0.59148
E1938_12,,,0.01378,
E280_672,,0.84085,,
E1861_550,,0.68797,,
E1473_458,,0.57268,,
E1022_522,,,0.65288,
E956_714,,,0.8934799999999999,
E1346_773,,,,0.9674200000000001
E857_477,,,0.59649,
E1138_547,,,0.68421,
E323_578,0.72306,,,
E1097_22,,,,0.02632
E111_341,0.42607,,,
E1381_242,0.30201,,,
E98_310,,0.38722,,
E231_245,,0.30576,,
E859_374,,0.46742,,
E513_194,,0.24185,,
E1243_682,,,,0.8533799999999999
E717_466,,,0.5827100000000001,
E187_682,,0.8533799999999999,,
E462_395,,0.49373,,
E352_361,,0.45113000000000003,,
E1719_604,,,,0.75564
E1463_566,,,0.70802,
E1479_436,,,0.54511,
E1925_562,,,0.70301,
E540_151,,,0.18797,
E1375_14,,0.01629,,
E1001_527,,0.65915,,
E1665_667,,,0.8345899999999999,
E1442_227,,,0.28321,
E79_488,,,0.61028,
E1276_520,,,0.6503800000000001,
E889_174,,0.21679,,
E1502_608,,0.76065,,
E168_279,,0.34836999999999996,,
E1520_570,,0.71303,,
E66_297,,0.37093000000000004,,
E451_794,0.9937299999999999,,,
E745_191,,,0.2381,
E1918_345,0.43108,,,
E281_736,,0.92105,,
E1864_680,,,0.85088,
E1962_258,,0.32206,,
E8_477,,0.59649,,
E1860_514,,,0.64286,
E1121_24,,,0.02882,
E695_138,,,,0.17168
E774_246,,,0.30701999999999996,
E383_207,0.25815,,,
E110_537,,,,0.67168
E1763_1,,0.0,,
E1148_494,,,0.61779,
E672_440,,0.55013,,
E1182_668,,0.8358399999999999,,
E802_357,,,0.44611999999999996,
E1427_720,,,0.9009999999999999,
E1461_633,,,0.79198,
E200_777,,,0.9724299999999999,
E578_62,,0.07644,,
E71_529,,,0.66165,
E688_349,,,0.43609,
E1353_781,,0.97744,,
E398_184,,0.22931999999999997,,
E1450_49,,0.06015,,
E1252_55,,,0.06767000000000001,
E265_543,,,0.6792,
E1835_785,,0.98246,,
E1929_790,,0.98872,,
E927_396,,0.49499,,
E762_68,0.08396,,,
E974_247,,0.30827,,
E102_723,,0.90476,,
E289_792,,0.9912299999999999,,
E645_35,,0.04261,,
E1611_388,,,,0.48496000000000006
E226_159,,0.19799,,
E1976_583,,,0.72932,
E400_117,,0.14536,,
E1424_269,,0.33584,,
E1231_777,,0.9724299999999999,,
E1370_630,,0.78822,,
E1174_167,,0.20801999999999998,,
E487_545,,,0.6817,
E1395_279,,,0.34836999999999996,
E1994_482,,0.6027600000000001,,
E948_144,,,,0.1792
E1582_782,,0.9787,,
E94_12,,,,0.01378
E1576_648,,,0.8107800000000001,
E832_340,,,,0.42481
E1373_627,,0.78446,,
E335_301,,,0.37594,
E1311_798,,,0.99875,
E1572_185,,,0.23058,
E1590_557,,,0.6967399999999999,
E1571_281,,,0.35088,
E1367_584,0.73058,,,
E957_101,,0.12531,,
E346_126,,,,0.15664
E759_85,,0.10525999999999999,,
E445_479,,,0.599,
E609_282,,,0.35213,
E1654_340,,0.42481,,
E392_281,,,0.35088,
E1785_555,,0.69424,,
E1544_15,,,,0.01754
E573_23,,,0.027569999999999997,
E1617_492,,,,0.61529
E1919_114,,0.1416,,
E1585_628,,0.78571,,
E128_725,,,0.90727,
E1639_36,,0.04386,,
E1788_75,,,0.09272999999999999,
E1319_687,,0.85965,,
E1675_652,,0.81579,,
E368_205,,,0.25564000000000003,
E423_116,,,0.14411,
E1656_226,,,0.28195,
E23_575,0.7193,,,
E480_677,,,0.8471200000000001,
E649_699,,0.87469,,
E1474_536,,,0.67043,
E1626_618,0.77318,,,
E1946_319,,,0.3985,
E1705_159,0.19799,,,
E510_459,0.57393,,,
E41_405,,,0.50627,
E219_564,,,0.7055100000000001,
E75_96,,0.11905,,
E1679_122,,,,0.15163
E1964_517,0.64662,,,
E210_385,,0.4812,,
E1563_207,,,0.25815,
E780_114,,0.1416,,
E394_279,,,0.34836999999999996,
E1587_644,,,0.80576,
E1460_724,,0.90602,,
E614_447,,0.5589,,
E426_148,,,0.18420999999999998,
E317_603,,,,0.75439
E96_356,,0.44486000000000003,,
E1833_775,,,0.9699200000000001,
E1672_225,,,,0.2807
E1939_405,,,,0.50627
E390_168,,,,0.20926999999999998
E1941_680,,0.85088,,
E1547_371,,,0.46366,
E331_634,,,,0.79323
E865_165,,,0.20551,
E574_659,,0.8245600000000001,,
E1866_166,,,,0.20676999999999998
E659_442,,0.5526300000000001,,
E1594_679,,0.84962,,
E1802_618,,,0.77318,
E1216_179,,,0.22305999999999998,
E373_452,,0.56516,,
E713_336,,,0.4198,
E1308_44,,0.05388,,
E1510_292,,,0.36466,
E332_593,,,,0.74185
E684_474,,,0.59273,
E1167_16,,0.0188,,
E1737_58,,0.07143,,
E1493_692,,,0.8659100000000001,
E1879_472,,,0.59023,
E635_107,,,0.13283,
E1707_165,,0.20551,,
E501_344,,0.42982,,
E1418_169,,0.21053000000000002,,
E1597_254,,0.31704,,
E949_632,,,,0.79073
E1995_85,,0.10525999999999999,,
E345_298,,,0.37218,
E203_268,,,0.33459,
E1268_493,,,0.61654,
E1220_660,,,0.82581,
E1530_229,,0.28570999999999996,,
E320_390,,0.48746999999999996,,
E147_590,,0.7381,,
E786_529,,0.66165,,
E1145_570,,,0.71303,
E597_260,,,0.32456,
E380_786,,0.9837100000000001,,
E1224_428,,,0.53509,
E237_142,,,0.17669,
E198_637,,0.79699,,
E1588_146,,0.1817,,
E1905_730,,0.91353,,
E1192_320,,,0.39975,
E1210_787,,,0.9849600000000001,
E312_434,,0.54261,,
E252_97,,,0.1203,
E1406_633,,0.79198,,
E1169_556,,,0.6954899999999999,
E577_449,,,0.5614,
E275_10,,,0.01128,
E1647_129,0.1604,,,
E1393_539,,0.67419,,
E1987_138,,0.17168,,
E787_400,,,0.5,
E1397_532,,,0.6654100000000001,
E92_92,,0.11404,,
E1320_501,,0.62657,,
E1961_691,,,0.86466,
E1173_628,,,,0.78571
E1497_765,,,,0.95739
E1818_35,,0.04261,,
E1306_395,,0.49373,,
E992_233,,,0.29073000000000004,
E1494_91,,,0.11277999999999999,
E1850_591,,0.73935,,
E56_679,,,0.84962,
E114_296,,0.36967,,
E116_610,,0.7631600000000001,,
E1204_365,,0.45614,,
E1503_458,,0.57268,,
E776_724,,,0.90602,
E1259_295,,0.36841999999999997,,
E1033_525,,0.65664,,
E1557_374,,,0.46742,
E1667_225,,0.2807,,
E903_618,,0.77318,,
E1892_348,,,0.43483999999999995,
E264_366,,0.45738999999999996,,
E258_444,,,0.55514,
E1348_248,,0.30951999999999996,,
E1687_37,,,,0.045110000000000004
E1856_401,,0.50125,,
E1256_308,,0.38471,,
E481_111,,,0.13784000000000002,
E1087_679,,,0.84962,
E1417_545,,0.6817,,
E599_597,,,0.74687,
E636_506,,,,0.63283
E1008_317,,0.39599,,
E1659_53,,0.06516,,
E606_471,,0.58897,,
E1489_393,,0.49123,,
E1983_239,,0.29825,,
E583_165,,0.20551,,
E972_201,,0.25063,,
E87_570,,,0.71303,
E492_219,0.27318000000000003,,,
E1421_751,,0.93985,,
E654_20,,,,0.023809999999999998
E38_79,,,0.09774,
E1966_318,,0.39724,,
E758_468,,0.58521,,
E337_611,,0.76441,,
E90_154,,0.19172999999999998,,
E707_499,,,0.6240600000000001,
E740_694,,,0.8684200000000001,
E1545_464,0.5802,,,
E1586_686,,,0.8584,
E1239_287,,0.3584,,
E847_99,,0.12280999999999999,,
E1978_170,,0.21178000000000002,,
E733_719,,,,0.89975
E1975_45,,,0.055139999999999995,
E735_215,,,,0.26816999999999996
E1270_740,0.9260700000000001,,,
E729_247,0.30827,,,
E1514_703,0.8797,,,
E140_118,,,0.14662,
E1899_414,0.51754,,,
E1168_722,,,0.90351,
E1193_67,,,0.08271,
E1578_31,,0.03759,,
E1525_552,,,0.69048,
E1226_736,,0.92105,,
E997_461,,,0.57644,
E944_661,,,0.8270700000000001,
E1441_402,,,0.50251,
E1339_50,,0.0614,,
E1025_371,,0.46366,,
E1633_312,,,0.38971999999999996,
E1469_455,0.56892,,,
E239_643,,0.8045100000000001,,
E1741_176,,,,0.2193
E1396_363,0.45363000000000003,,,
E1779_445,,,0.5563899999999999,
E14_70,,0.08647,,
E1257_47,,0.05764,,
E34_17,0.02005,,,
E39_17,,,0.02005,
E1114_587,,0.73434,,
E469_537,,0.67168,,
E1948_781,,,,0.97744
E1349_13,,,,0.015040000000000001
E1558_105,0.13033,,,
E851_592,0.7406,,,
E1603_469,,,0.5864699999999999,
E1376_617,,0.77193,,
E1907_102,,0.12657000000000002,,
E954_68,,,0.08396,
E52_793,0.9924799999999999,,,
E868_207,,,0.25815,
E1988_751,,,,0.93985
E1299_43,,0.052629999999999996,,
E43_209,,,,0.26065
E1685_50,,,,0.0614
E1322_458,,,,0.57268
